lambda,alpha0,alpha1,alpha2,iteration
0.01,0.0,0.6396,0.0002,1
0.01,0.0,0.6508,0.0,1
0.01,0.0,0.6474,0.0005,1
0.01,0.0016,0.6644,0.0023,1
0.01,0.0013,0.6682,0.002,1
0.01,0.002,0.6745,0.0012,1
0.01,0.0002,0.6736,0.0,1
0.01,0.0004,0.6652,0.0058,1
0.01,0.0,0.6744,0.0,1
0.01,0.0,0.6788,0.0,1
0.01,0.0,0.6844,0.0,1
0.01,0.0003,0.6971,0.0008,1
0.01,0.001,0.7008,0.0005,1
0.01,0.0,0.7024,0.0011,1
0.01,0.001,0.7158,0.0,1
0.01,0.0028,0.7317,0.0012,1
0.01,0.001,0.73,0.003,1
0.01,0.0,0.7271,0.0017,1
0.01,0.0002,0.7344,0.0,1
0.01,0.0001,0.7336,0.0,1
0.01,0.0,0.7254,0.0012,1
0.01,0.0011,0.751,0.0025,1
0.01,0.0003,0.7489,0.0007,1
0.01,0.0006,0.7466,0.0001,1
0.01,0.0001,0.7357,0.0008,1
0.01,0.0003,0.7539,0.0008,1
0.01,0.0,0.7647,0.0,1
0.01,0.0,0.7732,0.0,1
0.01,0.0008,0.7742,0.0017,1
0.01,0.0005,0.7736,0.0021,1
0.01,0.0,0.782,0.0002,1
0.01,0.0001,0.7878,0.0003,1
0.01,0.0028,0.7854,0.003,1
0.01,0.0,0.7881,0.0022,1
0.01,0.0001,0.7874,0.0031,1
0.01,0.0003,0.7874,0.0023,1
0.01,0.0,0.7928,0.0,1
0.01,0.3,0.0,0.3,2
0.01,0.2943,0.0004,0.2926,2
0.01,0.2849,0.0,0.2852,2
0.01,0.2489,0.0,0.274,2
0.01,0.176,0.0,0.2377,2
0.01,0.1459,0.0,0.2159,2
0.01,0.1248,0.0007,0.1922,2
0.01,0.1045,0.0008,0.1665,2
0.01,0.088,0.0071,0.1409,2
0.01,0.0662,0.0001,0.1071,2
0.01,0.0587,0.0008,0.0954,2
0.01,0.0384,0.0001,0.0627,2
0.01,0.0217,0.0047,0.0326,2
0.01,0.0,0.0004,0.0,2
0.01,0.0003,0.0006,0.0002,2
0.01,0.0,0.0016,0.0,2
0.01,0.0,0.0,0.0,2
0.01,0.0,0.0,0.0,2
0.01,0.0003,0.0025,0.0,2
0.01,0.0,0.0,0.0,2
0.01,0.0007,0.0,0.0003,2
0.01,0.0007,0.0013,0.0004,2
0.01,0.0018,0.0022,0.0005,2
0.01,0.0002,0.0,0.0,2
0.01,0.0002,0.0,0.0006,2
0.01,0.0,0.0007,0.0,2
0.01,0.0003,0.0018,0.0002,2
0.01,0.0006,0.001,0.0,2
0.01,0.0,0.0005,0.0,2
0.01,0.0,0.0012,0.0,2
0.01,0.0006,0.0029,0.0,2
0.01,0.0,0.0,0.0,2
0.01,0.0,0.0016,0.0,2
0.01,0.0,0.0003,0.0,2
0.01,0.0001,0.0008,0.0,2
0.01,0.0001,0.0,0.0,2
0.01,0.0006,0.0016,0.0005,2
0.01,0.0,0.0,0.0,2
0.01,0.0,0.0,0.0004,2
0.01,0.0,0.0,0.0,2
0.01,0.0,0.0014,0.0,2
0.01,0.0014,0.0019,0.0014,2
0.01,0.0002,0.0015,0.0005,2
0.01,0.0,0.0006,0.0004,2
0.01,0.0002,0.0016,0.0002,2
0.01,0.0007,0.0,0.0002,2
0.01,0.0013,0.0022,0.0004,2
0.01,0.0,0.0001,0.0,2
0.01,0.0,0.001,0.0,2
0.01,0.0006,0.0001,0.0,2
0.01,0.0,0.0008,0.0,2
0.01,0.0015,0.0021,0.0004,2
0.01,0.0005,0.0,0.0,2
0.01,0.0,0.0,0.0,2
0.01,0.0,0.0,0.0,2
0.01,0.0,0.0014,0.0,2
0.01,0.0,0.0022,0.0,2
0.01,0.0,0.0,0.0,2
0.01,0.0,0.0,0.0,2
0.01,0.0,0.0004,0.0,2
0.01,0.0002,0.0017,0.0,2
0.01,0.0,0.0,0.0,2
0.01,0.0003,0.0009,0.0002,2
0.01,0.0,0.0001,0.0,2
0.01,0.0,0.0001,0.0,2
0.01,0.0,0.0,0.0,2
0.01,0.0002,0.0004,0.0008,2
0.01,0.001,0.0031,0.0008,2
0.01,0.0,0.0008,0.0002,2
0.01,0.0,0.0003,0.0,2
0.01,0.0008,0.0,0.0006,2
0.01,0.0,0.001,0.0002,2
0.01,0.0,0.0,0.0,2
0.01,0.0005,0.0021,0.0,2
0.01,0.0016,0.001,0.0,2
0.01,0.0,0.0012,0.0007,2
0.01,0.0,0.0001,0.0,2
0.01,0.0,0.0008,0.0,2
0.01,0.0007,0.0002,0.0,2
0.01,0.0008,0.0005,0.0011,2
0.01,0.0006,0.0,0.0022,2
0.01,0.0008,0.0007,0.0002,2
0.01,0.0002,0.0003,0.0,2
0.01,0.0006,0.0006,0.0003,2
0.01,0.0,0.0013,0.0004,2
0.01,0.0,0.0,0.0,2
0.01,0.0005,0.0016,0.0005,2
0.01,0.0001,0.0012,0.0,2
0.01,0.0,0.0,0.0,2
0.01,0.0001,0.0,0.0,2
0.01,0.0,0.0013,0.0,2
0.01,0.0002,0.0011,0.0,2
0.01,0.0,0.0,0.0,2
0.01,0.0,0.0002,0.0,2
0.01,0.0,0.0,0.0,2
0.01,0.0,0.0,0.0,2
0.01,0.0005,0.0009,0.0007,2
0.01,0.0,0.0001,0.0004,2
0.01,0.0001,0.0015,0.0008,2
0.01,0.0011,0.0,0.0004,2
0.01,0.75,0.75,0.35,3
0.01,0.7425,0.7435,0.3467,3
0.01,0.734,0.7368,0.3415,3
0.01,0.7251,0.7296,0.3352,3
0.01,0.7153,0.7218,0.3268,3
0.01,0.705,0.7116,0.3149,3
0.01,0.6923,0.6963,0.2961,3
0.01,0.6737,0.6704,0.2665,3
0.01,0.619,0.6219,0.1885,3
0.01,0.5027,0.5378,0.0063,3
0.01,0.4698,0.5114,0.0,3
0.01,0.429,0.4705,0.0002,3
0.01,0.4094,0.4469,0.0,3
0.01,0.3926,0.4242,0.0012,3
0.01,0.3745,0.4061,0.0,3
0.01,0.3662,0.4063,0.0,3
0.01,0.3557,0.4086,0.0,3
0.01,0.3463,0.4122,0.0,3
0.01,0.3394,0.4219,0.0,3
0.01,0.3311,0.4244,0.0,3
0.01,0.3274,0.4251,0.0016,3
0.01,0.3193,0.425,0.0,3
0.01,0.31,0.4346,0.0,3
0.01,0.3058,0.4454,0.0006,3
0.01,0.299,0.4499,0.0011,3
0.01,0.2887,0.4503,0.0006,3
0.01,0.284,0.4591,0.0,3
0.01,0.2788,0.4705,0.0022,3
0.01,0.2761,0.4815,0.0,3
0.01,0.2681,0.4838,0.0006,3
0.01,0.2638,0.4803,0.0024,3
0.01,0.2575,0.4895,0.0002,3
0.01,0.2538,0.5004,0.0004,3
0.01,0.2501,0.5064,0.0005,3
0.01,0.2431,0.5108,0.0021,3
0.01,0.2383,0.5222,0.0,3
0.01,0.2342,0.5273,0.0002,3
0.01,0.2286,0.5326,0.0001,3
0.01,0.2247,0.5356,0.0007,3
0.01,0.2225,0.5493,0.0,3
0.01,0.2208,0.5538,0.0,3
0.01,0.2175,0.5566,0.0,3
0.01,0.2131,0.5661,0.0001,3
0.01,0.2091,0.5763,0.0005,3
0.01,0.2056,0.5847,0.0005,3
0.01,0.2035,0.5923,0.0007,3
0.01,0.2001,0.6006,0.0,3
0.01,0.1974,0.6,0.0007,3
0.01,0.1947,0.6069,0.0015,3
0.01,0.1896,0.6098,0.0013,3
0.01,0.1881,0.61,0.0,3
0.01,0.1828,0.6154,0.0019,3
0.01,0.1809,0.6249,0.001,3
0.01,0.1762,0.6287,0.002,3
0.01,0.178,0.6484,0.0004,3
0.01,0.1745,0.6488,0.0,3
0.01,0.1756,0.6611,0.0006,3
0.01,0.172,0.6574,0.0022,3
0.01,0.1655,0.6431,0.0006,3
0.01,0.1647,0.6626,0.0004,3
0.01,0.1658,0.6627,0.0012,3
0.01,0.1631,0.6671,0.0,3
0.01,0.1563,0.6672,0.0,3
0.01,0.1552,0.6643,0.0017,3
0.01,0.1515,0.6623,0.003,3
0.01,0.1518,0.6675,0.001,3
0.01,0.1521,0.6872,0.0,3
0.01,0.1506,0.6881,0.0014,3
0.01,0.1477,0.6926,0.0038,3
0.01,0.1427,0.6863,0.0,3
0.01,0.1443,0.6888,0.0008,3
0.01,0.1457,0.6986,0.0008,3
0.01,0.1402,0.7003,0.0001,3
0.01,0.1405,0.7047,0.0003,3
0.01,0.138,0.7071,0.0,3
0.01,0.1377,0.7154,0.0002,3
0.01,0.1298,0.7018,0.0014,3
0.01,0.1234,0.6983,0.0023,3
0.01,0.1289,0.7221,0.0,3
0.01,0.1273,0.7199,0.0035,3
0.01,0.1258,0.7168,0.0,3
0.01,0.1232,0.7145,0.0028,3
0.01,0.1247,0.7315,0.0,3
0.01,0.121,0.7196,0.0016,3
0.01,0.1222,0.7228,0.0019,3
0.01,0.1183,0.7234,0.0,3
0.01,0.1181,0.7327,0.0002,3
0.01,0.1156,0.741,0.0012,3
0.01,0.1125,0.7395,0.0003,3
0.01,0.1071,0.7393,0.0009,3
0.01,0.1095,0.7436,0.0028,3
0.01,0.1059,0.75,0.0003,3
0.01,0.1041,0.7377,0.0,3
0.01,0.1017,0.7536,0.0004,3
0.01,0.0988,0.7527,0.0,3
0.01,0.0973,0.7561,0.0013,3
0.01,0.0938,0.7536,0.001,3
0.01,0.0939,0.7549,0.0004,3
0.01,0.0932,0.7529,0.0,3
0.01,0.0918,0.7568,0.0017,3
0.01,0.95,0.45,0.3,4
0.01,0.9412,0.4456,0.2974,4
0.01,0.9325,0.44,0.2921,4
0.01,0.9237,0.433,0.2796,4
0.01,0.9152,0.4241,0.2503,4
0.01,0.9061,0.4106,0.1655,4
0.01,0.899,0.3566,0.0,4
0.01,0.8916,0.3033,0.0,4
0.01,0.8834,0.2736,0.0,4
0.01,0.8759,0.2514,0.0008,4
0.01,0.8732,0.2442,0.0053,4
0.01,0.8674,0.2273,0.0084,4
0.01,0.8624,0.2126,0.0209,4
0.01,0.8584,0.1996,0.0299,4
0.01,0.8535,0.1861,0.0285,4
0.01,0.8508,0.1747,0.038,4
0.01,0.8463,0.1621,0.0319,4
0.01,0.8436,0.1516,0.0387,4
0.01,0.8448,0.143,0.0598,4
0.01,0.8416,0.129,0.0513,4
0.01,0.8415,0.1249,0.0531,4
0.01,0.8423,0.1141,0.0702,4
0.01,0.8422,0.1042,0.0717,4
0.01,0.8403,0.0914,0.0668,4
0.01,0.8408,0.0792,0.0717,4
0.01,0.8481,0.071,0.093,4
0.01,0.8471,0.0591,0.0826,4
0.01,0.8551,0.0503,0.1049,4
0.01,0.8582,0.0368,0.1053,4
0.01,0.8624,0.0253,0.111,4
0.01,0.8632,0.0201,0.1115,4
0.01,0.8668,0.0089,0.1209,4
0.01,0.8688,0.0,0.1183,4
0.01,0.8779,0.0,0.1304,4
0.01,0.8858,0.0,0.1456,4
0.01,0.892,0.0006,0.1539,4
0.01,0.8968,0.0008,0.1627,4
0.01,0.9002,0.0,0.1644,4
0.01,0.9015,0.0001,0.1627,4
0.01,0.9015,0.0,0.1605,4
0.01,0.9055,0.0,0.1648,4
0.01,0.9109,0.0,0.1699,4
0.01,0.9178,0.0,0.1834,4
0.01,0.9224,0.0008,0.1879,4
0.01,0.9278,0.0,0.1947,4
0.01,0.9326,0.0,0.19,4
0.01,0.9425,0.0,0.2031,4
0.01,0.9402,0.0,0.1952,4
0.01,0.9508,0.0007,0.205,4
0.01,0.9526,0.0005,0.2062,4
0.01,0.9522,0.0002,0.2039,4
0.01,0.9566,0.0006,0.2036,4
0.01,0.9682,0.0,0.2109,4
0.01,0.9696,0.0,0.2073,4
0.01,0.9688,0.0007,0.1895,4
0.01,0.9826,0.0004,0.2055,4
0.01,0.9868,0.0001,0.204,4
0.01,0.9948,0.0003,0.2049,4
0.01,0.9916,0.0,0.1939,4
0.01,1.0,0.0003,0.216,4
0.01,0.994,0.0005,0.2041,4
0.01,0.9921,0.0,0.1997,4
0.01,0.9954,0.0,0.1898,4
0.01,1.0,0.0,0.186,4
0.01,0.9964,0.0,0.1937,4
0.01,0.9893,0.0,0.1885,4
0.01,0.9942,0.0001,0.1881,4
0.01,0.9973,0.0003,0.1869,4
0.01,0.9973,0.0009,0.1846,4
0.01,0.9949,0.0006,0.1804,4
0.01,0.9984,0.0,0.1844,4
0.01,0.9987,0.0007,0.1803,4
0.01,0.9996,0.0,0.1678,4
0.01,0.9993,0.0006,0.1587,4
0.01,0.9967,0.0,0.1659,4
0.01,0.9996,0.001,0.1707,4
0.01,0.9953,0.0,0.1691,4
0.01,0.9956,0.0006,0.1622,4
0.01,0.9946,0.0004,0.1586,4
0.01,0.9997,0.0,0.1551,4
0.01,0.9926,0.0012,0.1572,4
0.01,0.9919,0.0005,0.1526,4
0.01,0.9956,0.0005,0.1565,4
0.01,0.9951,0.0003,0.148,4
0.01,0.9944,0.0005,0.1422,4
0.01,0.9959,0.0002,0.1418,4
0.01,0.995,0.0013,0.1293,4
0.01,1.0,0.0002,0.1292,4
0.01,0.9924,0.0002,0.1211,4
0.01,0.9934,0.0001,0.1293,4
0.01,0.9924,0.0,0.1281,4
0.01,0.9966,0.0002,0.1232,4
0.01,0.9968,0.0008,0.1199,4
0.01,0.9917,0.0002,0.12,4
0.01,1.0,0.0002,0.118,4
0.01,0.9972,0.0001,0.1094,4
0.01,1.0,0.0,0.1006,4
0.01,0.9982,0.0002,0.1002,4
0.01,0.9965,0.0004,0.0936,4
0.01,0.9989,0.0,0.0968,4
0.01,0.35,0.3,0.7,5
0.01,0.3455,0.2951,0.68,5
0.01,0.3371,0.2872,0.6406,5
0.01,0.3226,0.2752,0.581,5
0.01,0.2834,0.2491,0.4645,5
0.01,0.1334,0.165,0.269,5
0.01,0.0265,0.1058,0.1707,5
0.01,0.0,0.0804,0.1345,5
0.01,0.0011,0.0625,0.1103,5
0.01,0.0,0.0558,0.1068,5
0.01,0.0007,0.0527,0.1024,5
0.01,0.0016,0.0548,0.1164,5
0.01,0.0,0.0527,0.1247,5
0.01,0.0001,0.0493,0.1208,5
0.01,0.0007,0.0537,0.1355,5
0.01,0.0007,0.0535,0.1397,5
0.01,0.0,0.0494,0.1413,5
0.01,0.0,0.0516,0.1557,5
0.01,0.0005,0.0486,0.1591,5
0.01,0.0,0.0444,0.1541,5
0.01,0.002,0.0468,0.1614,5
0.01,0.0,0.0524,0.1881,5
0.01,0.0002,0.0501,0.1909,5
0.01,0.0,0.0457,0.194,5
0.01,0.0013,0.0465,0.2082,5
0.01,0.0013,0.0467,0.2271,5
0.01,0.0004,0.0409,0.2277,5
0.01,0.0,0.0363,0.2313,5
0.01,0.0007,0.0337,0.2466,5
0.01,0.0001,0.0336,0.2557,5
0.01,0.0011,0.0342,0.2681,5
0.01,0.0,0.0255,0.2661,5
0.01,0.0,0.0268,0.2868,5
0.01,0.0002,0.0236,0.2974,5
0.01,0.0,0.0198,0.3074,5
0.01,0.0007,0.0183,0.3272,5
0.01,0.0008,0.0119,0.3415,5
0.01,0.0,0.0056,0.3448,5
0.01,0.0004,0.0025,0.3589,5
0.01,0.0,0.0005,0.3737,5
0.01,0.0014,0.0012,0.3834,5
0.01,0.0002,0.0007,0.3824,5
0.01,0.001,0.0023,0.3878,5
0.01,0.0002,0.0007,0.3951,5
0.01,0.0006,0.0012,0.4088,5
0.01,0.0006,0.0004,0.4156,5
0.01,0.0,0.0,0.4176,5
0.01,0.0013,0.0014,0.4326,5
0.01,0.0002,0.0012,0.4386,5
0.01,0.0002,0.0009,0.4424,5
0.01,0.0,0.0004,0.441,5
0.01,0.0009,0.0006,0.4502,5
0.01,0.0,0.0006,0.4583,5
0.01,0.0014,0.0014,0.4625,5
0.01,0.0,0.0009,0.4665,5
0.01,0.0016,0.0018,0.4605,5
0.01,0.0013,0.0012,0.4668,5
0.01,0.0023,0.0026,0.4851,5
0.01,0.0031,0.0033,0.4856,5
0.01,0.0,0.0006,0.491,5
0.01,0.0,0.0,0.4863,5
0.01,0.0009,0.0011,0.4849,5
0.01,0.0007,0.0011,0.4796,5
0.01,0.0012,0.0009,0.4924,5
0.01,0.0,0.0,0.4883,5
0.01,0.0,0.0,0.4807,5
0.01,0.0013,0.0023,0.493,5
0.01,0.0009,0.001,0.5016,5
0.01,0.0035,0.0033,0.5048,5
0.01,0.002,0.0034,0.5024,5
0.01,0.0019,0.0047,0.5069,5
0.01,0.0012,0.0012,0.5117,5
0.01,0.0001,0.0004,0.4913,5
0.01,0.0018,0.0019,0.5131,5
0.01,0.0009,0.001,0.5207,5
0.01,0.0009,0.0019,0.5089,5
0.01,0.0021,0.0013,0.5221,5
0.01,0.0033,0.0029,0.5224,5
0.01,0.0005,0.0,0.5242,5
0.01,0.0006,0.0007,0.5215,5
0.01,0.0012,0.0008,0.5226,5
0.01,0.0002,0.0001,0.544,5
0.01,0.0001,0.0,0.533,5
0.01,0.0,0.0,0.5121,5
0.01,0.0004,0.0007,0.5256,5
0.01,0.0,0.0,0.522,5
0.01,0.0007,0.0007,0.5339,5
0.01,0.0,0.0,0.5238,5
0.01,0.0027,0.0026,0.5346,5
0.01,0.0007,0.0012,0.5276,5
0.01,0.0,0.0,0.5193,5
0.01,0.0011,0.0,0.5387,5
0.01,0.0019,0.0015,0.5344,5
0.01,0.0006,0.0011,0.5339,5
0.01,0.0006,0.0007,0.5392,5
0.01,0.0001,0.0003,0.5322,5
0.01,0.0007,0.0006,0.53,5
0.01,0.0007,0.0008,0.5361,5
0.01,0.0001,0.0002,0.5345,5
0.01,0.0,0.0001,0.5529,5
0.015,0.65,0.65,0.2,0
0.015,0.642,0.6382,0.198,0
0.015,0.6329,0.6261,0.1934,0
0.015,0.6224,0.614,0.1863,0
0.015,0.6104,0.6001,0.1767,0
0.015,0.5956,0.5833,0.1637,0
0.015,0.5757,0.5617,0.1469,0
0.015,0.5469,0.533,0.1262,0
0.015,0.4927,0.4854,0.0954,0
0.015,0.3473,0.3736,0.0,0
0.015,0.2603,0.3034,0.0,0
0.015,0.1365,0.1897,0.0,0
0.015,0.1037,0.1501,0.0005,0
0.015,0.0853,0.1243,0.0003,0
0.015,0.0767,0.1114,0.0,0
0.015,0.0727,0.1024,0.0,0
0.015,0.0807,0.1029,0.0,0
0.015,0.0778,0.0979,0.0,0
0.015,0.0778,0.0957,0.0005,0
0.015,0.0783,0.0932,0.0,0
0.015,0.0763,0.0907,0.0,0
0.015,0.0772,0.0901,0.0,0
0.015,0.0886,0.0994,0.0015,0
0.015,0.0897,0.1004,0.0,0
0.015,0.0926,0.101,0.0,0
0.015,0.0951,0.1029,0.0,0
0.015,0.1042,0.1111,0.0015,0
0.015,0.1127,0.1179,0.0003,0
0.015,0.116,0.1205,0.0005,0
0.015,0.1149,0.118,0.0,0
0.015,0.1209,0.1257,0.0,0
0.015,0.1295,0.1317,0.0,0
0.015,0.1278,0.1346,0.0,0
0.015,0.1339,0.1402,0.0,0
0.015,0.145,0.1488,0.0,0
0.015,0.1478,0.1502,0.0011,0
0.015,0.1517,0.1516,0.0009,0
0.015,0.1578,0.1559,0.0,0
0.015,0.1677,0.166,0.0,0
0.015,0.1734,0.1724,0.0007,0
0.015,0.1828,0.1818,0.0,0
0.015,0.1796,0.1776,0.0013,0
0.015,0.1882,0.1837,0.0,0
0.015,0.2035,0.1997,0.0,0
0.015,0.1963,0.1958,0.0022,0
0.015,0.2091,0.2065,0.0,0
0.015,0.2141,0.2122,0.0,0
0.015,0.2256,0.2184,0.0,0
0.015,0.2331,0.2269,0.0002,0
0.015,0.2357,0.23,0.0,0
0.015,0.2457,0.2379,0.001,0
0.015,0.2506,0.2436,0.0,0
0.015,0.2599,0.2504,0.0005,0
0.015,0.2708,0.2572,0.0,0
0.015,0.2797,0.2634,0.0,0
0.015,0.2805,0.2608,0.0,0
0.015,0.288,0.2663,0.0005,0
0.015,0.295,0.2718,0.0001,0
0.015,0.2998,0.2724,0.0007,0
0.015,0.3087,0.2803,0.0,0
0.015,0.3098,0.2807,0.0001,0
0.015,0.3304,0.2951,0.0,0
0.015,0.3308,0.291,0.0,0
0.015,0.3363,0.2942,0.0,0
0.015,0.3326,0.2918,0.0,0
0.015,0.3646,0.3148,0.001,0
0.015,0.3669,0.3126,0.0,0
0.015,0.3847,0.3233,0.0002,0
0.015,0.3834,0.3189,0.0001,0
0.015,0.382,0.3131,0.0,0
0.015,0.3872,0.3181,0.0001,0
0.015,0.3977,0.3211,0.0017,0
0.015,0.4027,0.3158,0.0005,0
0.015,0.4227,0.3304,0.0,0
0.015,0.4369,0.3364,0.0022,0
0.015,0.4348,0.3293,0.0019,0
0.015,0.4486,0.3365,0.0004,0
0.015,0.464,0.343,0.0,0
0.015,0.467,0.3381,0.0006,0
0.015,0.474,0.3379,0.0021,0
0.015,0.478,0.3384,0.0,0
0.015,0.4771,0.3314,0.0001,0
0.015,0.507,0.3441,0.0036,0
0.015,0.5054,0.3334,0.0,0
0.015,0.5185,0.3375,0.0016,0
0.015,0.5178,0.3308,0.001,0
0.015,0.5332,0.3365,0.0012,0
0.015,0.5346,0.3328,0.0002,0
0.015,0.5339,0.3306,0.0036,0
0.015,0.5511,0.336,0.0002,0
0.015,0.5541,0.3351,0.0008,0
0.015,0.5619,0.3347,0.0014,0
0.015,0.565,0.3299,0.0004,0
0.015,0.5812,0.3342,0.0021,0
0.015,0.5866,0.3301,0.0,0
0.015,0.5952,0.3245,0.0017,0
0.015,0.5967,0.319,0.0015,0
0.015,0.6146,0.3226,0.0029,0
0.015,0.6245,0.3183,0.0012,0
0.015,0.6281,0.3192,0.0002,0
0.015,0.5,0.7,0.8,1
0.015,0.4932,0.6917,0.7914,1
0.015,0.4864,0.6828,0.7778,1
0.015,0.4794,0.6738,0.7628,1
0.015,0.472,0.6648,0.7479,1
0.015,0.4643,0.6552,0.729,1
0.015,0.4561,0.6449,0.7059,1
0.015,0.4439,0.6322,0.6775,1
0.015,0.4153,0.6044,0.6589,1
0.015,0.3203,0.5319,0.6456,1
0.015,0.2506,0.4944,0.6407,1
0.015,0.1776,0.4554,0.6286,1
0.015,0.1609,0.4408,0.6152,1
0.015,0.1538,0.4306,0.6006,1
0.015,0.1593,0.427,0.5852,1
0.015,0.1607,0.4226,0.5692,1
0.015,0.1586,0.4161,0.5522,1
0.015,0.1535,0.4092,0.5341,1
0.015,0.1627,0.4082,0.5156,1
0.015,0.1597,0.4025,0.4953,1
0.015,0.1598,0.4008,0.4881,1
0.015,0.165,0.398,0.4659,1
0.015,0.1659,0.3942,0.4437,1
0.015,0.1702,0.3901,0.4206,1
0.015,0.1674,0.3837,0.3976,1
0.015,0.1709,0.3807,0.3714,1
0.015,0.1773,0.378,0.3429,1
0.015,0.1762,0.3726,0.3104,1
0.015,0.1789,0.3681,0.2798,1
0.015,0.1801,0.362,0.2494,1
0.015,0.1833,0.3614,0.2378,1
0.015,0.189,0.3575,0.2038,1
0.015,0.1964,0.3551,0.1689,1
0.015,0.1964,0.35,0.1332,1
0.015,0.1974,0.3435,0.098,1
0.015,0.2054,0.342,0.0642,1
0.015,0.2106,0.338,0.0324,1
0.015,0.209,0.3319,0.0053,1
0.015,0.2128,0.3283,0.0,1
0.015,0.2239,0.3291,0.0,1
0.015,0.2223,0.3264,0.0,1
0.015,0.2178,0.3185,0.0,1
0.015,0.2254,0.3167,0.0,1
0.015,0.2346,0.3166,0.001,1
0.015,0.235,0.3125,0.0,1
0.015,0.2417,0.3124,0.0,1
0.015,0.2438,0.3089,0.0,1
0.015,0.2458,0.3072,0.0007,1
0.015,0.2464,0.3024,0.0,1
0.015,0.2577,0.3041,0.0,1
0.015,0.2551,0.3024,0.0,1
0.015,0.2631,0.3019,0.0002,1
0.015,0.2637,0.2993,0.0,1
0.015,0.2703,0.2986,0.0,1
0.015,0.2746,0.2997,0.0,1
0.015,0.2825,0.3012,0.0,1
0.015,0.2804,0.2963,0.0,1
0.015,0.2863,0.2976,0.0001,1
0.015,0.2945,0.3,0.0,1
0.015,0.2937,0.297,0.0002,1
0.015,0.2925,0.2954,0.0,1
0.015,0.2996,0.2966,0.0,1
0.015,0.3057,0.2988,0.0014,1
0.015,0.3036,0.2963,0.0,1
0.015,0.3118,0.2994,0.0,1
0.015,0.3139,0.2977,0.0,1
0.015,0.3112,0.2949,0.0002,1
0.015,0.3205,0.2983,0.0,1
0.015,0.3274,0.3011,0.0,1
0.015,0.3333,0.3026,0.0,1
0.015,0.3395,0.3038,0.0,1
0.015,0.3455,0.3079,0.0,1
0.015,0.3474,0.3063,0.0019,1
0.015,0.3529,0.3082,0.0,1
0.015,0.3617,0.3131,0.0,1
0.015,0.3616,0.3119,0.0,1
0.015,0.3661,0.3129,0.0,1
0.015,0.3681,0.3122,0.0,1
0.015,0.373,0.3112,0.0,1
0.015,0.3846,0.3187,0.0,1
0.015,0.3819,0.317,0.0,1
0.015,0.39,0.3193,0.0014,1
0.015,0.4011,0.3257,0.0014,1
0.015,0.4018,0.3242,0.0002,1
0.015,0.4016,0.3233,0.0,1
0.015,0.4045,0.3246,0.0006,1
0.015,0.4108,0.3286,0.0002,1
0.015,0.4089,0.3271,0.0,1
0.015,0.4218,0.3321,0.0,1
0.015,0.422,0.3321,0.0015,1
0.015,0.432,0.336,0.0,1
0.015,0.4314,0.3346,0.0002,1
0.015,0.4384,0.3363,0.0,1
0.015,0.4511,0.3449,0.0,1
0.015,0.4553,0.3471,0.0,1
0.015,0.452,0.3452,0.0,1
0.015,0.4596,0.3481,0.0,1
0.015,0.477,0.3567,0.0,1
0.015,0.482,0.3567,0.0004,1
0.015,0.4858,0.3597,0.0,1
0.015,0.15,0.7,0.7,2
0.015,0.1483,0.6886,0.6922,2
0.015,0.1465,0.6772,0.6825,2
0.015,0.1444,0.6655,0.6728,2
0.015,0.1422,0.6539,0.6582,2
0.015,0.1397,0.642,0.6434,2
0.015,0.1369,0.6298,0.627,2
0.015,0.1337,0.6171,0.6082,2
0.015,0.1295,0.603,0.584,2
0.015,0.1217,0.5837,0.5576,2
0.015,0.1166,0.574,0.5488,2
0.015,0.0874,0.537,0.5262,2
0.015,0.0,0.4608,0.4664,2
0.015,0.0,0.3794,0.3516,2
0.015,0.0,0.3451,0.268,2
0.015,0.0005,0.3158,0.1936,2
0.015,0.0013,0.2897,0.1356,2
0.015,0.0,0.2661,0.0819,2
0.015,0.0031,0.2471,0.0399,2
0.015,0.0003,0.224,0.0013,2
0.015,0.0,0.2157,0.0,2
0.015,0.0026,0.1968,0.0,2
0.015,0.0,0.1788,0.0012,2
0.015,0.0013,0.1593,0.0003,2
0.015,0.005,0.1437,0.0,2
0.015,0.004,0.1258,0.0004,2
0.015,0.0039,0.1132,0.0,2
0.015,0.0011,0.0952,0.0007,2
0.015,0.0022,0.0797,0.0,2
0.015,0.001,0.0643,0.0,2
0.015,0.0024,0.0583,0.0015,2
0.015,0.0054,0.0462,0.0,2
0.015,0.0054,0.0319,0.0,2
0.015,0.0076,0.0198,0.0004,2
0.015,0.0013,0.0048,0.0,2
0.015,0.0,0.0001,0.0014,2
0.015,0.0002,0.0004,0.0,2
0.015,0.0018,0.0007,0.001,2
0.015,0.0009,0.0,0.0018,2
0.015,0.0011,0.0009,0.0005,2
0.015,0.0001,0.0,0.0022,2
0.015,0.0002,0.0,0.0003,2
0.015,0.0002,0.0001,0.0011,2
0.015,0.0,0.0,0.0007,2
0.015,0.0002,0.0,0.0008,2
0.015,0.0013,0.0009,0.0,2
0.015,0.0005,0.0002,0.0,2
0.015,0.0008,0.0008,0.001,2
0.015,0.0025,0.001,0.0,2
0.015,0.001,0.0004,0.0,2
0.015,0.0022,0.0009,0.0023,2
0.015,0.0045,0.0019,0.0004,2
0.015,0.0003,0.0001,0.0,2
0.015,0.0013,0.0001,0.0,2
